id,author,cleaned_text
id26305,EAP,process however aforded  aforded means ascertaining dimensions dungeon might make circuit return point whence set without aware fact perfectly uniform semed wall
id17569,HPL,never ocured fumbling might mere mistake
id11008,EAP,left hand gold snuff box capered hill cutting manner fantastic steps took snuff incessantly air greatest possible self satisfaction
id27763,MWS,lovely spring loked windsor terace sixteen fertile counties spread beneath speckled happy cotages wealthier towns loked former years heart cheering fair
id12958,HPL,finding nothing else even gold superintendent abandoned atempts perplexed look occasionally steals countenance sits thinking desk
id22965,MWS,youth pased solitude best years spent gentle feminine fosterage refined groundwork character cannot overcome intense distaste usual brutality exercised board ship never believed necessary heard mariner equally noted kindliness heart respect obedience paid crew felt peculiarly fortunate able secure services
id09674,EAP,astronomer perhaps point took refuge suggestion non luminosity analogy suddenly let fall
id13515,EAP,surcingle hung ribands body
id19322,EAP,knew could say stereotomy without brought think atomies thus theories epicurus since discused subject long ago mentioned singularly yet little notice vague gueses noble greek met confirmation late nebular cosmogony felt could avoid casting eyes upward great nebula orion certainly expected would
id00912,MWS,confess neither structure languages code governments politics various states possessed atractions
id16737,MWS,shall find feel injuries shall learn dread revenge days arived
id16607,EAP,baricaded present secure
id19764,HPL,herbert west neded fresh bodies life work reanimation dead
id18886,HPL,farm like grounds extended back deeply hill almost wheaton stret
id17189,EAP,glance show fallacy idea
id12799,MWS,escaped must commence destructive almost endless journey across mountainous ices ocean amidst cold inhabitants could long endure native genial sunny climate could hope survive
id08441,EAP,speches gave course interpretation fancying doubt events come possession vast quantities ready money provided paid owed trifle consideration services dare say cared little became either soul carcass
id13117,MWS,native sprightliness neded undue excitement placid heart reposed contented love well children beauty surrounding nature
id14862,EAP,even went far speak slightly hectic cough one time troubled chronic rheumatism twinge hereditary gout conclusion disagreeable inconvenient hitherto carefully concealed weakness eyes
id20836,HPL,facial aspect remarkable maturity though shared mothers grandfathers chinlesnes firm precociously shaped nose united expression large dark almost latin eyes give air quasi adulthood well nigh preternatural intelligence
id11411,EAP,net work permanently fastened hoop attached series running lops noses
id08075,HPL,sounds hideous held vibrations suggesting nothing globe earth certain intervals assumed symphonic quality could hardly conceive produced one player
id18925,EAP,every hand wilderness balconies verandas minarets shrines fantastically carved oriels
id19925,EAP,deep spirit wonder perplexity wont regard remote pew gallery step solemn slow ascended pulpit reverend man countenance demurely benign robes glossy clerically flowing wig minutely powdered rigid vast could late sour visage snuffy habiliments administered ferule hand draconian laws academy
id01704,EAP,bizarre atempts explanation folowed others equally bizarre
id10125,EAP,many prodigies signs taken place far wide sea land black wings pestilence spread abroad
id02448,EAP,al yet fairly said known pure gold made readily lead connection certain substances kind proportions unknown speculation course busy immediate ultimate results discovery thinking persons hesitate refering increased interest matter gold generally late developments california reflection brings us inevitably another exceeding inopportuneness von kempelens analysis
id23451,EAP,semed upon verge comprehension without power comprehend men times find upon brink remembrance without able end remember
id27907,HPL,compasses depth gauges delicate instruments ruined henceforth reckoning would guesswork based watches calendar apparent drift judged objects might spy portholes conning tower
id08121,HPL,young wariors took back sarnath symbol conquest old gods beings ib sign leadership mnar
id15222,EAP,meantime whole paradise arnheim bursts upon view
id00764,MWS,rich young guardian apointed would act one great society must keep secret really cut ever
id00683,MWS,could make little dim light semed contain prophecies detailed relations events lately pased names well known modern date often exclamations exultation woe victory defeat traced thin scant pages
id11733,HPL,even talked tombs
id03205,HPL,shehan especially ply inquiries yet without eliciting information value concerning old bugs
id01948,HPL,cried aloud little later gave gasp terrible cry
id22412,HPL,old tracks crossed river stret grade vered region increasingly rural less insmouths abhorrent fishy odour
id05258,MWS,soul overflowed ardent afections friendship devoted wondrous nature world minded teach us look imagination
id00144,HPL,first start replaced tissue wrapping around portrait shield sordidness place
id19576,EAP,present peculiar condition afairs court especially intrigues known involved would render instant availability document susceptibility produced moments notice point nearly equal importance possession
id01577,HPL,wilburs growth indeed phenomenal within three months birth atained size muscular power usually found infants full year age
id01651,HPL,pausing suceded difficulty raising whereupon revealed black aperture exhaling noxious fumes caused torch sputter disclosing unsteady glare top flight stone steps
id27080,HPL,mud water sky dark rain wipin aout tracks abaout fast could beginin glen maouth whar tres moved still awful prints big barls like seen monday
id20751,MWS,visits merival windsor frequent suddenly ceased
id21136,EAP,supposed however great underduk sufered impertinence part little old man pass impunity
id10279,EAP,need tell sceptical hitherto topic souls immortality
id12683,MWS,often compared finding chief superiority consisted power soon persuaded power inferior chiefest potentates earth
id19180,HPL,childrens children newcomers children grew
id02236,HPL,dr johnson beheld full pursy man ill drest slovenly aspect
id11523,EAP,presently murmur water fell gently upon ear moments afterward turned road somewhat abruptly hitherto became aware building kind lay foot gentle declivity
id22530,EAP,elison remarkable continuous profusion good gifts lavished upon fortune
id22197,EAP,still continued plane elipse made little progress eastward
id24941,MWS,useless provide many things find abundant provision every town
id15218,MWS,fly quickly snow sledges motion pleasant opinion far agreeable english stagecoach
id02164,MWS,pointed spot disapeared folowed track boats nets cast vain
